question,answer,phi,llama,gemini,mixtral,claude,gpt
"If my program has multiple concentrations, will a change to the program affect all of the concentrations?","Concentrations are specific areas of study within the major. Anything outside of a concentration is part of the base program. If the change is to the Carolina Core, College Requirements, Program Requirements, or Major requirements (outside of the concentration), then the change will affect all concentrations. If the change is within a specific concentration itself, then it will not affect other concentrations in the program."," Typically, changing your academic program at USC will affect all associated concentrations unless specified otherwise by the program's guidelines. Contact your program advisor for personalized advice regarding your situation.","If you have a program with multiple concentrations, a change to the program will typically affect all concentrations, unless stated otherwise by the academic department. It's always best to confirm with your academic advisor to ensure you understand any potential effects on your concentrations.","I don't have access to specific program details. It's best to reach out to your academic advisor or the relevant department to clarify how changes impact concentrations within your program. They can provide the most accurate guidance. 
"," Generally, changing your program will not impact all concentrations. However, it may depend on the specific program's rules at USC. Consult your academic advisor for personalized guidance.","It depends on the specific program and proposed changes. Generally, changes to core requirements might affect all concentrations, while changes to concentration-specific courses would only impact that particular concentration. For detailed information, consult your academic advisor or program coordinator at USC.","Changes to a program may affect all concentrations, but it depends on the specifics of the curriculum changes. Check with your academic advisor for detailed information on how revisions might impact your concentrations. They can provide the most accurate and tailored guidance."
What are critical courses on the major maps?,"Courses may be marked as critical if there is a deadline for completion or if they may cause a delay in graduation because they serve as a prerequisite in a series of courses, have prescribed sequencing, or have limited offerings. There is a description of why courses are critical for a particular program in the first program note on the back of each major map. Critical courses are explained with examples in the Major Maps Training Module . (https://www.youtube.com/watch?v=8iJrJTDzKCQ&feature=youtu.be)"," At the University of South Carolina, critical courses for a major map-related course typically include:

1. Cartography 101: Introduction to Maps - covers basics, symbols, scales.
2. GIS 101: Principles of Geographic Information Systems - essential for digital mapping.
3. Map Analysis and Interpretation - understanding spatial relationships.
4. Field Surveying Methods - practical skills for accurate data collection.
5. Cartographic Design - principles of map-making for effective communication.

Ensure to check with your specific department for tailored course recommendations.","For many majors at the University of South Carolina, critical courses are those that provide a foundation in the subject area or meet accreditation requirements. Some examples include:

* Intro to Psychology for Psychology majors
* Calculus I for STEM majors
* English composition for Humanities majors
* Introduction to Business for Business Administration majors

Please note that specific critical courses may vary depending on the major and department. Check the major map or consult with an advisor for more detailed information.","I need more information to answer your question!  Could you tell me what major you are interested in?  Major maps are specific to each academic program, so I need that context to provide you with the right critical courses.  Go Gamecocks! 
"," Critical courses on USC major maps are required for graduation, offering foundational knowledge in your chosen field. They vary by major, so check your specific map for details.","Critical courses on USC's major maps are typically foundational classes essential for progressing in a specific degree program. These courses often have minimum grade requirements and must be completed by certain semesters. Examples vary by major but may include introductory classes in math, science, or major-specific subjects.",Critical courses in USC major maps are essential for timely progress in a specific major. These courses must be taken in the recommended sequence to ensure prerequisites are met. Reviewing your specific major's map on the USC website or consulting an academic advisor can provide detailed guidance.
What are major maps?,"A major map is a layout of required courses in a given program of study, including critical courses and suggested course sequence to ensure a clear path to graduation. Major maps include universal terminology, a standard program of study, and a common 8-semester template. Access the Major Map Repository Learn more about major maps with the Major Map Training Module (/about/offices_and_divisions/advising/advisor_toolbox/majormaps.php, /about/offices_and_divisions/advising/advisor_training/training-index.php)"," At the University of South Carolina, ""major maps"" could refer to interactive digital maps that highlight important locations on campus, such as academic buildings, student centers, athletic facilities, and more. These tools can help students navigate the campus, plan their routes, and discover resources. If you're looking for specific maps or navigation tools, the USC Campus Services or IT department can provide helpful resources.","Major maps, also known as academic maps, are tailored plans that outline the coursework and requirements for a specific major at the University of South Carolina. These maps help students stay on track, ensure they're taking the right classes, and complete their degree on time. USC offers major maps for a wide range of undergraduate and graduate programs.","Major maps are comprehensive guides to the University of South Carolina's campus. They include buildings, landmarks, and important points of interest.  You can find these online or at campus information centers. 
"," Major Maps at USC are online resources guiding students through their chosen degree program. They detail course requirements, milestones, and suggested schedules, helping ensure academic success.","Major maps at USC are planning tools that outline recommended course sequences for each academic major. They help students visualize their path to graduation, including required courses, electives, and suggested timelines. Major maps are valuable resources for academic planning and staying on track for degree completion.","Major maps at USC are detailed, semester-by-semester academic plans outlining recommended courses and milestones for each degree program. They help students stay on track toward graduation, ensuring all major requirements and opportunities for enrichment, such as internships and study abroad, are included."
What are the requirements for a cross-listed course?,"“A cross-listed course is a course that is offered under more than one course subject and is not appropriate for courses with the same course subject. Once a cross-listed course is approved, the courses are viewed as equivalent and identical and should ideally be able to be taken interchangeably within degree programs which require the course.” (ACAF 2.03) Cross-listed courses must have the exact same criteria as listed below: Course Number (if possible; at minimum the course numbers for the cross-listed courses must have be at the same level, i.e., lower division, upper division, mixed, graduate) Title Course Description Pre-requisites and Co-requisites Catalog Restrictions (e.g., by student level or program) Carolina Core or GLD designations (if applicable) Grade Mode (i.e., letter grade or pass/fail) Schedule Type (e.g., lecture, lab, seminar) a. Cross-listed courses may have different course delivery and location."," At the University of South Carolina, cross-listed courses typically follow standard university guidelines. Requirements may vary, but generally, you should:

1. Check both department listings for prerequisites.
2. Ensure credit limits are not exceeded if enrolling in multiple times.
3. Consult with your academic advisor for specific guidance.

For the most accurate and current information, please refer to USC's official academic catalog or student services portal.","At the University of South Carolina, cross-listed courses are ones that are offered through multiple departments or schools. To take a cross-listed course, you need to meet the prerequisites for the course as specified by the department offering the course. Typically, you'll need to check the course catalog or consult with your academic advisor to confirm the requirements.","Cross-listed courses at USC often have different prerequisites depending on the department. It's best to check the course syllabus or contact the instructors for specific requirements. 
"," Cross-listed courses share similar content and requirements. You'll enroll under one course title, but it'll count towards both. Requirements are set by the specific department; check their syllabus or website for details.","At USC, cross-listed courses are offered by multiple departments. Students can only receive credit for the course once, regardless of which department they enroll through. Requirements may vary, but generally, students must meet prerequisites for at least one of the listed departments.","A cross-listed course at USC is offered under multiple departments or programs but counts as the same course. Students must check specific prerequisites and departmental approvals, as requirements can vary. It's essential to consult the course catalog or academic advisor for precise details."
What are the requirements for a syllabus?,"All undergraduate and graduate courses must have a course syllabus that includes the following: Course title (including course subject designator and number) Instructor name and relevant contact information Final Exam day and time, as appropriate (from Office of the Registrar’s website) Class meeting days, times, and location, or equivalent Undergraduate or Graduate Bulletin course description Course learning outcomes Required text(s) and/or suggested readings, as appropriate Course requirements and grading Assignments, projects, quizzes, and/or exams with brief descriptions of expectations with points/weights assigned to each activity. Courses at the Mixed/Advanced Undergraduate/Entry Level Graduate Courses (500/600--level) must include separate grading schemes for undergraduate and graduate credit and one or more assignments for graduate credit that are clearly differentiated from undergraduate assignments Grading scheme and weights including what a student must do to receive a grade of A through F for a letter grade-based course, or an S or U, or a T or U, as appropriate for a non-letter grade course Topical outline of content to be covered, including a time allocation framework (e.g., week 1, week 2, etc. to include 14 weeks for a standard academic year course 6 session). The time allocation framework will be adjusted for other term lengths accordingly, consistent with course credit hours as defined in section III D. For Distributed Learning Courses, the syllabus is expected to articulate estimated time commitments of instructional time and course activity time consistent with course credit hours as defined above. The Committee on Instructional Development shall maintain and administer guidelines for such courses. Statement regarding academic integrity, honorable behavior and/or the Carolinian Creed (or excerpt thereof). Additional information may be found through the Office of Academic Integrity . Sample syllabi are also available through the Center for Teaching Excellence. Course attendance policy consistent with the expectations stated in the respective Academic Bulletin. Statement regarding disability services. Additional information may be found through the Student Disability Services Center and in policy STAF 6.02 Support Services and Accommodations for Students with Diagnosed Disabilities. (https://sc.edu/about/offices_and_divisions/student_conduct_and_academic_integrity/, /about/offices_and_divisions/cte/teaching_resources/syllabus_templates/, /about/offices_and_divisions/student_disability_resource_center/for_faculty_and_staff/classroom_accessibility/index.php)"," A USC syllabus typically includes: course title, instructor's name, course description, learning objectives, grading criteria, assignment details, attendance policy, university's academic policies, class schedule, policies on late work, academic integrity, and contact information for the instructor. It's a comprehensive guide for understanding course expectations.","According to the University of South Carolina's Policy on Course Syllabi, a syllabus must include: course title, course description, credit hours, meeting times, contact information for the instructor, course goals and objectives, assignments and evaluations, and any additional policies or expectations.","I can't give you specific syllabus requirements.  You should check with your professor or department for their guidelines.  They'll have the most accurate information! 
"," A USC syllabus typically includes course description, learning objectives, assignments, attendance policy, textbook info, and professor's contact details. Requirements may vary by faculty.","At USC, syllabi typically include course information, instructor details, learning outcomes, required materials, grading policies, and a schedule of topics. Specific requirements may vary by department, but all syllabi should align with USC's academic policies and provide students with a clear course overview.","USC requires syllabi to include course objectives, a schedule of topics, grading policies, required materials, instructor contact information, and any specific policies regarding attendance and academic integrity. It's important for each syllabus to align with USC's academic guidelines and be clear to students."
What is a cognate?,"""A cognate is series of courses that display a distinct curricular pattern in one or more disciplines different from the major. Undergraduate cognates require a minimum of 12 credit hours in advanced level courses related to, but outside the major. Graduate cognates range between 9 and 18 credit hours. Cognates are variable according to what is appropriate as determined by the student and the major advisor. Thus, cognates are not subject to faculty governance review, and do not appear on either the transcripts or the diplomas."" (ACAF 2.00)"," A cognate is a word that has a similar form and meaning in two languages because of a shared etymological origin. For example, the English word ""mother"" and the German ""Mutter"" are cognates, as both have evolved from the same Proto-Indo-European root. The University of South Carolina has diverse international students, creating an environment where understanding cognates can be quite beneficial for language learning.","A cognate is an undergraduate student who enrolls in a separate related field, usually for one or two semesters, to explore a specific interest. USC offers cognates in various fields, such as business, engineering, languages, and more. This unique program allows students to earn a related minor or additional certification.","A cognate is a word that shares a common origin and similar meaning with a word in another language. For example, ""father"" in English and ""padre"" in Spanish are cognates. 
"," A cognate is a foreign language word roughly equivalent to an English one, often sharing similar meaning, spelling, or pronunciation. At USC, students can study cognates in various language programs.","At USC, a cognate is a group of courses (usually 12-18 credit hours) in a specific area outside a student's major. It's designed to complement the major and provide broader knowledge. Cognates are required for most bachelor's degree programs at USC.","At USC, a cognate is a set of courses that students choose outside their major to complement their primary field of study, broadening their educational experience and providing interdisciplinary learning."
What is a concentration?,"""A Concentration is a series of courses that display a distinct curricular pattern within the major. They are often called options, emphases, tracks, areas, fields, or specializations. These are different from minors or cognates which are typically outside of the major. Concentrations are subject to faculty governance review, and appear on the transcripts but not the diplomas."" (ACAF 2.00)"," A concentration at the University of South Carolina refers to a specific field of study chosen by students within their undergraduate degree. For example, USC offers various majors such as Business Administration, Biology, or History, each with sub-concentrations. These allow students to focus on particular aspects or specializations, such as Finance within Business Administration, Environmental Biology within Biology, or American History within History. Choosing a concentration helps tailor your education to your interests and career goals.","At the University of South Carolina, a concentration is a specific area of study within a major. It's a way for students to tailor their degree to their interests and career goals. For example, if a student majors in Business, they might concentrate in Finance, Management, or Marketing. Concentrations provide a deeper exploration of a particular field, preparing students for a more focused career path!","A concentration is a specific area of study within a major, allowing you to specialize in a particular field. For example, you could have a major in Biology and a concentration in Genetics. 
"," A concentration at USC is a focused area of study within a major, allowing you to specialize your knowledge and skills in a specific subject.","At USC, a concentration is a specialized area of study within a major. It allows students to focus on a specific aspect of their chosen field, gaining in-depth knowledge and skills in that particular area while still completing their broader major requirements.","At USC, a concentration is a specialized area of study within a major, allowing students to focus on specific topics or skills in their field to tailor their educational experience."
What is an integrative course?,"An Integrative course is a course in the major, in which selected Carolina Core learning outcomes are integrated into the chosen major. Each undergraduate program must have an approved integrative course and require it as part of the major to ensure that all undergraduate students have had an integrative course in their major. It cannot just be an option in the major. Learn more on integrative courses . (https://sc.edu/about/offices_and_divisions/provost/academicpriorities/undergradstudies/carolinacore/courses/integrative-courses.php)"," An integrative course at the University of South Carolina (USC) is designed to combine multiple disciplines or academic fields, encouraging students to explore and connect concepts across traditional boundaries. This approach fosters a deeper understanding of complex issues and promotes critical thinking, creativity, and the ability to apply knowledge in diverse contexts. USC's integrative learning initiatives aim to enhance students' educational experiences by preparing them for the interdisciplinary nature of modern challenges.","A great question! At the University of South Carolina, integrative courses are interdisciplinary learning experiences that combine concepts and skills from multiple fields or disciplines. These courses aim to provide students with a more holistic understanding of a topic, fostering critical thinking, collaboration, and problem-solving skills. Integrative courses can be found across various academic programs, including arts, humanities, and STEM fields!","Integrative courses combine knowledge and skills from multiple disciplines, allowing you to explore a topic from different perspectives. They're a great way to broaden your learning! 
"," An integrative course at USC combines multiple disciplines, allowing students to explore connections between different subjects and gain a more holistic understanding of complex topics.","At USC, an integrative course combines knowledge from multiple disciplines or perspectives to address complex issues. These courses encourage students to think critically and make connections across different fields of study, enhancing their overall understanding and problem-solving skills.","At USC, an integrative course is designed to connect various disciplines and promote comprehensive learning. It encourages students to integrate knowledge from different fields, fostering critical thinking and a holistic understanding of complex issues. This approach is central to many USC programs and curricula."
What is Banner/Self-Service Carolina?,"Self-Service Carolina allows students, faculty, and advisors to access student information via the web. Students may use Self Service Carolina to: View and update Financial Aid Status Access Degreeworks Check Registration Status and eligibility Schedule classes using College Scheduler Check grades and verify records Pay tuition and fees Faculty may use Self Service Carolina to: Review class rosters Assign grades Obtain student contact information Academic Advisors may use Self Service Carolina to: Access DegreeWorks Check a student’s Registration Status and eligibility Obtain student contact information Review student Records Learn more with the Self Service Carolina Overview training module. For helpful tutorials and how to videos, visit the Self-Service Carolina Upgrade page. (https://www.youtube.com/watch?v=iqOe9tzGp1g&feature=youtu.be, /about/offices_and_divisions/advising/advisor_toolbox/advising_technology/banner9/index.php)"," Banner/Self-Service Carolina is USC's online portal, providing students, faculty, and staff with access to academic records, course registration, financial aid information, and more, streamlining administrative tasks and promoting efficient university engagement.","Banner/Self-Service Carolina is the University of South Carolina's online student information system! It allows students to access their academic records, register for classes, view grades, and more. Simply login with your Storminfo ID and password to start exploring your student portal.","Banner/Self-Service Carolina is the online portal where you can access your student records, grades, financial aid information, and much more! It's your one-stop shop for all things USC. 
"," Banner/Self-Service Carolina is a USC online platform providing students and staff access to academic records, registration, financial aid, billing, and other university services.","Banner/Self-Service Carolina is USC's online portal for students and faculty. It allows students to register for classes, view grades, check financial aid, and manage personal information. Faculty use it to access class rosters and submit grades. It's an essential tool for managing academic and administrative tasks at USC.","Banner/Self-Service Carolina is USC's online platform where students can manage academic tasks like course registration, accessing grades, viewing financial aid, and updating personal information. It streamlines student administration, making essential services easily accessible."
What is CourseLeaf?,CourseLeaf is the new curriculum management software that includes curriculum inventory management (curriculum change process) and catalog management (bulletin).," CourseLeaf is an application designed to help students at the University of South Carolina (USC) with their academic course planning. It provides a platform where students can register for courses, access grades, and manage their academic schedule efficiently within the USC academic system. Please note that while I can provide general information, for specific functionalities or features, it's best to check the latest updates on the university's official resources or CourseLeaf's website.","CourseLeaf is the university's online curriculum management system, used to manage and publish the official course catalog, degree requirements, and academic programs. It allows faculty and administrators to easily update and review course information, ensuring accuracy and transparency in our academic offerings.","CourseLeaf is USC's online learning management system. It's where you can access course materials, submit assignments, and communicate with professors. 
"," CourseLeaf is a digital platform used by USC for curriculum management, including course and program proposal, approval, and catalog publishing.","CourseLeaf is USC's online catalog and curriculum management system. It's used for creating and updating course information, program requirements, and academic policies. Faculty and staff use it to manage curriculum changes, while students can access the system to view course descriptions and degree requirements.","CourseLeaf is USC's academic software used for course and program management. It helps streamline course catalog creation, class scheduling, curriculum updates, and more. This system ensures accurate, efficient handling of academic data for students, faculty, and administration."
What is DegreeWorks?,"DegreeWorks is the University’s degree audit system. DegreeWorks aids both students and advisors in monitoring students’ progress toward degree and assist students in choosing the most appropriate courses to fulfill degree requirements. Integrated with students’ academic records in Banner, DegreeWorks matches student record data (courses, hours grades) with degree requirements categorically to identify which courses meet degree requirements and which courses need to be completed. Degree works also allows users to run “what if” and “look ahead” scenarios to both show how project courses will apply to a student’s major and apply a student’s course history to another program of study. ( Office of the University Registrar ) Learn more with the DegreeWorks Overview training module. (/about/offices_and_divisions/registrar/toolbox/sysaccess/index.php, https://www.youtube.com/watch?v=syUFK9gy56g&feature=youtu.be)"," DegreeWorks is a comprehensive digital learning platform at the University of South Carolina (USC). It tracks students' academic progress, ensuring they meet graduation requirements. DegreeWorks helps students plan their coursework, submit grades, and maintain academic standing. It's part of USC's commitment to facilitating student success and supporting academic advising.","DegreeWorks is USC's degree audit and planning tool! It's an online platform that helps students track their academic progress, check their degree requirements, and plan their coursework for graduation. It's like having a personal academic advisor – virtual and always up-to-date! Check it out to stay on top of your degree goals!","DegreeWorks is an online tool that helps students track their progress towards graduation by providing a personalized roadmap of required courses and electives. It's an essential resource for planning your academic journey! 
", DegreeWorks is a USC tool that helps students and advisors monitor progress towards degree completion. It visually displays courses required and taken in an easy-to-read format.,"DegreeWorks is USC's online degree audit system. It helps students track their academic progress, view degree requirements, and plan future courses. This tool is essential for ensuring students stay on track for graduation and understand their remaining requirements.","DegreeWorks is an online tool for USC students to track academic progress, plan courses, and ensure they meet graduation requirements. It offers features like degree audits and ""what-if"" scenarios to explore different major or minor options. Accessible through the university's student portal, it's an essential resource for academic planning."
What is EAB Navigate?,"The EAB Advising Platform (known as Navigate on the Columbia campus), populated by a nightly feed of student data from Banner, provides a simple overview of key student information; success marker notifications; risk scoring for early intervention; a full transcript view and incoming student test and placement scores; easy list development based on hundreds of student attributes (GPA ranges; credit completion percentages; specific courses; participation in certain groups such as Honors, athletics, or sorority/fraternity; transfers; etc); a major matcher feature integrated with hiring and salary data provided by O-Net; easy referrals to support offices across campus who will reach out to the student and then close the loop with the advisor who made the referral. Learn more with the EAB Navigate Overview training module. (/about/offices_and_divisions/advising/advisor_toolbox/advising_technology/navigate/index.php, https://www.youtube.com/watch?v=MTYWVP8Dp5A&feature=youtu.be)"," EAB Navigate is not a directly recognized term associated with the University of South Carolina (USC). USC may have specific services, programs, or initiatives that could be referred to by a similar acronym. For accurate information, please provide more context or check the latest updates directly from USC's official communications or resources.","EAB Navigate is a student success platform used by the University of South Carolina to help students achieve their academic and career goals. It provides personalized guidance, advising, and pathways to improve student engagement, retention, and graduation rates.","EAB Navigate is a powerful online platform designed to help you navigate your academic journey at USC. It provides tools for course planning, career exploration, and academic advising. 
"," EAB Navigate is a student success platform at USC, offering personalized guidance for academic planning, progress tracking, and connection to support resources.","EAB Navigate is a student success platform used at USC to help students stay on track academically. It allows students to schedule appointments with advisors, access resources, and receive personalized notifications. Faculty and staff use it to monitor student progress and provide support.","EAB Navigate is a platform used by the University of South Carolina to enhance student success. It helps students manage their academic journey by providing resources for scheduling appointments, tracking academic progress, and accessing support services, all aimed at improving retention and graduation rates."
What is included in progression requirements?,"Progression requirements should inform students and advisors of any deadlines and minimum performance standards to continue in a program. They may include deadlines for course or application completion, minimum GPA requirements, minimum grade requirements, minimum number of credits earned, etc. Learn more with the Progression Requirements training module. (https://www.youtube.com/watch?v=dkA00CaM6R0&feature=youtu.be)"," At the University of South Carolina, progression requirements typically encompass:

1. Completing 30 semester credits of upper-level courses (30000-40000 level).
2. Maintaining a minimum cumulative GPA of 2.0.
3. Fulfilling professional experience or internship requirements, usually 150 hours.
4. Seeking advising from a faculty advisor in your major field.
5. Undergoing academic probation review if necessary.

For detailed requirements, contact USC's specific program office.","Progression requirements at the University of South Carolina include maintaining a minimum cumulative GPA of 2.0, passing 67% of all attempted hours, and satisfying specific major and program requirements. Students must also meet individual program or departmental requirements, such as completion of a certain number of hours or achieving a specific GPA in major courses.","Progression requirements for each major vary, but generally include a minimum GPA, completion of core courses, and sometimes specific prerequisites for upper-level classes. Check with your advisor for your specific major's requirements! 
"," USC's progression requirements typically include completing specific courses, maintaining a minimum GPA, and fulfilling prerequisites for upper-level classes within your major. Details vary by program. Consult your academic advisor or department for your major's requirements.","Progression requirements at USC typically include maintaining a minimum GPA, completing prerequisite courses, and meeting specific academic benchmarks for your chosen major. These requirements vary by program, so it's best to check with your specific department or academic advisor for detailed information.","Progression requirements at USC vary by program but typically include maintaining a minimum GPA, completing specific courses, and meeting any additional program-specific criteria to advance to the next academic level or year. Check your program's guidelines for precise details."
What is the Carolina Core?,"The Carolina Core provides the common core of knowledge, skill and academic experience for all Carolina undergraduate students. It provides the foundation for subsequent specialized study and for lifelong learning. Learn more about the Carolina Core. Learn more with the Carolina Core training module. (https://sc.edu/about/offices_and_divisions/provost/academicpriorities/undergradstudies/carolinacore/, https://www.youtube.com/watch?v=fKO6_tbz9m0&feature=youtu.be)"," The Carolina Core at USC represents the core principles and commitments that define the University community. Established in 2008, it includes values such as Excellence, Community, Diversity, Respect, Integrity, and Service. These principles guide the Trojan culture, academic integrity, and student experiences.","The Carolina Core is the general education program at the University of South Carolina. It's a set of 11 learning objectives that focus on developing critical thinking, communication, and problem-solving skills. Students complete Carolina Core courses in areas like English, math, science, and foreign languages to gain a well-rounded education.","The Carolina Core is a set of general education requirements designed to ensure that all USC graduates have a strong foundation in critical thinking, communication, and diverse perspectives. It's a core part of the USC experience! 
"," The Carolina Core is USC's revitalized general education program, ensuring students gain essential skills, a broad knowledge base, and cultural awareness through a flexible, interdisciplinary curriculum.","The Carolina Core is USC's general education program. It ensures students develop critical skills and explore diverse subjects, regardless of major. The Core includes courses in areas like effective communication, scientific literacy, and global citizenship, providing a well-rounded foundation for academic and professional success.","The Carolina Core is USC's general education curriculum, designed to provide students with foundational knowledge and skills. It includes courses in communication, analytical reasoning, scientific literacy, diversity, and ethics, ensuring a well-rounded academic experience."
What is the difference between prerequisites and restrictions?,"What is the difference between prerequisites and restrictions? Prerequisites are courses (successfully completed with a minimum grade of D, unless otherwise defined) that identify the skills and knowledge needed before enrollment in certain courses. Restrictions are conditions that limit the enrollment in certain courses to a select group of students. Restrictions may include: students of a certain academic standing students of a certain class standing (junior, senior, etc.) students admitted to a certain college, academic program, degree, minor, or certificate students belonging to a specific student group (Honors, Trio Scholars, etc.) students required to meet with an instructor, director, or obtain department permission. Note: Restrictions referring to students who have completed a specific number of credit hours and students with a certain minimum GPA cannot be enforced in Banner."," Prerequisites are courses or skills required to enroll in a higher-level class, while restrictions often refer to limitations, such as GPA requirements or specific enrollment conditions that might prevent a student from registering for a certain course.","Awesome question! At the University of South Carolina, prerequisites are courses that must be completed before taking a specific class. Restrictions, on the other hand, are rules that limit when or how often you can take a course due to factors like curriculum or availability. For example, a course might have a prerequisite of Intro to Psychology, while a restriction might limit you to taking it only during the summer session.","Prerequisites are courses you **must** take before enrolling in a specific course. Restrictions are limitations on who can enroll, like a major or class standing.  
"," Prerequisites are courses or requirements that must be completed before enrolling in a specific class. Restrictions refer to limitations on who can enroll, such as by major, class standing, or college.","Prerequisites are courses you must complete before enrolling in a specific class. Restrictions are limitations on who can register for a course, often based on factors like major, class standing, or special permissions. Prerequisites focus on prior knowledge, while restrictions control enrollment eligibility.","Prerequisites are courses or requirements needed before enrolling in a specific class. Restrictions limit enrollment based on criteria like major, class standing, or department approval. Both ensure that students meet course expectations but cater to different aspects of eligibility."
What is the format for an undergraduate degree program?,"Program of Study: Carolina Core (required) College Requirements (optional) Program Requirements (optional) Supporting Courses Cognate Minor Electives Major Requirements (required) Major Courses Major Electives Concentration For training on the Program of Study format: Advising Foundations: Program of Study Level 3: Program of Study (https://www.youtube.com/watch?v=GHF-S7KI_mA&feature=youtu.be, https://www.youtube.com/watch?v=GHF-S7KI_mA&feature=youtu.be)"," At the University of South Carolina (USC), undergraduate programs typically follow a Liberal Arts or STEM (Science, Technology, Engineering, Mathematics) curriculum structure. Students usually complete core requirements and 36 credits per semester, totaling 120 credits for a bachelor's degree. Specific formats may vary by department, so consult program guidelines for details.","The University of South Carolina (USC) offers undergraduate degree programs in various formats, including:

- Traditional: students attend classes on campus and follow a set schedule.
- Online: students take courses online, flexible scheduling.
- Blended: combination of online and on-campus classes.
- Accelerated: fast-paced, intensive courses, often with evening or summer sessions.
- Part-time: students take credit hours on a part-time basis, often with weekend or evening classes.

Please check the USC website for specific details on each program!","USC undergraduate programs typically follow a semester-based format. You'll take classes in the fall and spring semesters, with an option for summer courses too!  
"," USC's undergraduate programs typically follow a semester system, with two 15-week semesters per year. Most majors require 120 credit hours, including general education, major, and elective courses.","USC's undergraduate degree programs typically require 120-128 credit hours. Students complete general education requirements, major-specific courses, and electives. Programs are usually structured over four years, with full-time students taking about 15 credits per semester. Some majors may have additional requirements or internships.","USC undergraduate programs typically follow a four-year format, comprising general education, major-specific courses, and electives. Students often engage in a combination of lectures, seminars, labs, and experiential learning, culminating in fulfilling credit requirements for graduation. Academic advising supports students throughout their educational journey."
What is the process for course actions?,Internal Approvals: Academic Unit Head (Chair) Academic Unit Heads for departments affected by the action (only if needed) Distributed Learning (if new or change DL course) College/School Representative (usually the APL) Undergraduate Dean Instructional Development (if new DL course) Registrar (Banner Validation and Degree Audit) Carolina Core Specialty Team Chair –Carolina Core courses only Curricula and Courses Committee Faculty Senate," At USC, course procedures often involve:

1. Check syllabus and university course materials.
2. Attend class regularly.
3. Participate in discussions and assignments.
4. Submit work as per deadlines.
5. Access academic support services (Tutoring, Writing Center).
6. Follow Professor’s communication guidelines.
7. Attend orientation, study groups, and office hours if needed.
8. Consult Academic Advising for plan evaluation.

Ultimately, communicate with your instructor for course-specific details. Always refer to official USC academic resources for exact processes.","The University of South Carolina utilizes Self-Service Carolina, a online platform, to facilitate course actions. Faculty and staff can request course actions, such as adding, dropping, or changing courses, through Self-Service. Students can also use this platform to drop or withdraw from courses.","Course actions, like adding or dropping courses, are handled through the my.sc.edu portal. You can access it through the USC website or through the mobile app. You'll need your USC ID and password to log in. 
"," To drop or add a course at USC, log in to Self Service Carolina during specific enrollment periods. For withdrawals after the drop/add period, submit a Course Action Form to the Registrar. Details: usc.edu/student/ssc.","At USC, course actions typically involve the following steps:

1. Faculty propose changes
2. Department review
3. College curriculum committee approval
4. University-level review (if needed)
5. Final approval by relevant academic bodies

For specifics, consult the USC Registrar's Office or your department advisor.","The course action process at USC involves submitting a request through the Registrar’s website. Students typically use this process for add/drop, overrides, or special exceptions. Check with your academic advisor or the Registrar's office for specific forms and deadlines."
What is the process for program actions?,Internal Approvals: Academic Unit Head (Chair) Academic Unit Heads for departments affected by the action (only if needed) College/School Representative (usually the APL) Undergraduate Dean Registrar (Banner Validation and Degree Audit) Curricula and Courses Committee Faculty Senate External Approvals: 8. Board of Trustees (if needed) 9. CHE (if needed) 10. SACSCOC notification and/or substantive change (if needed) See the APPS Approval Flow Chart for program actions. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/docs/apps-approval-flowchart.pdf)," At the University of South Carolina (USC), program actions often involve several steps:

1. **Proposal Submission**: Faculty must submit a detailed proposal outlining the program's objectives, methods, and timeline.
2. **Review Process**: The proposal undergoes review by relevant committees (e.g., Academic Affairs, Ethics Committee, etc.).
3. **Approval**: Once approved, a program action plan is confirmed, and resources allocated.
4. **Implementation**: The program is executed according to the plan, with ongoing monitoring.
5. **Evaluation**: Post-implementation, the program is evaluated for effectiveness and impact.

For specific programs or contexts, please provide more details for tailored guidance. For USC-specific inquiries, refer to the Resources & Procedures page on the USC website.","A great question! At the University of South Carolina, program actions are typically handled through the Office of Academic Affairs. The process begins with a departmental proposal, which is reviewed by the college or school and then submitted to the University Senate's Academic Programs Committee. The Committee reviews and recommends the proposal to the Provost, who makes the final decision. If approved, the program is then implemented and accredited, as necessary!","I can't give you specific instructions on ""program actions."" Please tell me what kind of program you're referring to. I'm happy to help with information about USC programs and processes! 
"," For program actions at USC, students typically submit a request through the university's online system. Processing times vary, and students are usually notified via email once a decision is made.","At USC, program actions typically involve submitting a proposal to the appropriate academic department or college. This proposal is then reviewed by various committees and administrators. The process may include curriculum review, resource assessment, and approval stages. For specific details, it's best to consult the relevant department or the Provost's office.","Program actions at USC usually involve a review and approval process through relevant academic committees. This includes proposal submission, department and college reviews, and final approval by the University Committee on Curricula and Academic Policies (UCCAP). For specifics, check USC's official academic affairs guidelines."
