question,answer
What is EAB Navigate?,"The EAB Advising Platform (known as Navigate on the Columbia campus), populated by a nightly feed of student data from Banner, provides a simple overview of key student information; success marker notifications; risk scoring for early intervention; a full transcript view and incoming student test and placement scores; easy list development based on hundreds of student attributes (GPA ranges; credit completion percentages; specific courses; participation in certain groups such as Honors, athletics, or sorority/fraternity; transfers; etc); a major matcher feature integrated with hiring and salary data provided by O-Net; easy referrals to support offices across campus who will reach out to the student and then close the loop with the advisor who made the referral. Learn more with the EAB Navigate Overview training module. (/about/offices_and_divisions/advising/advisor_toolbox/advising_technology/navigate/index.php, https://www.youtube.com/watch?v=MTYWVP8Dp5A&feature=youtu.be)"
What is included in progression requirements?,"Progression requirements should inform students and advisors of any deadlines and minimum performance standards to continue in a program. They may include deadlines for course or application completion, minimum GPA requirements, minimum grade requirements, minimum number of credits earned, etc. Learn more with the Progression Requirements training module. (https://www.youtube.com/watch?v=dkA00CaM6R0&feature=youtu.be)"
What is the Carolina Core?,"The Carolina Core provides the common core of knowledge, skill and academic experience for all Carolina undergraduate students. It provides the foundation for subsequent specialized study and for lifelong learning. Learn more about the Carolina Core. Learn more with the Carolina Core training module. (https://sc.edu/about/offices_and_divisions/provost/academicpriorities/undergradstudies/carolinacore/, https://www.youtube.com/watch?v=fKO6_tbz9m0&feature=youtu.be)"
What is the difference between prerequisites and restrictions?,"What is the difference between prerequisites and restrictions? Prerequisites are courses (successfully completed with a minimum grade of D, unless otherwise defined) that identify the skills and knowledge needed before enrollment in certain courses. Restrictions are conditions that limit the enrollment in certain courses to a select group of students. Restrictions may include: students of a certain academic standing students of a certain class standing (junior, senior, etc.) students admitted to a certain college, academic program, degree, minor, or certificate students belonging to a specific student group (Honors, Trio Scholars, etc.) students required to meet with an instructor, director, or obtain department permission. Note: Restrictions referring to students who have completed a specific number of credit hours and students with a certain minimum GPA cannot be enforced in Banner."
What is the format for an undergraduate degree program?,"Program of Study: Carolina Core (required) College Requirements (optional) Program Requirements (optional) Supporting Courses Cognate Minor Electives Major Requirements (required) Major Courses Major Electives Concentration For training on the Program of Study format: Advising Foundations: Program of Study Level 3: Program of Study (https://www.youtube.com/watch?v=GHF-S7KI_mA&feature=youtu.be, https://www.youtube.com/watch?v=GHF-S7KI_mA&feature=youtu.be)"
What is the process for course actions?,Internal Approvals: Academic Unit Head (Chair) Academic Unit Heads for departments affected by the action (only if needed) Distributed Learning (if new or change DL course) College/School Representative (usually the APL) Undergraduate Dean Instructional Development (if new DL course) Registrar (Banner Validation and Degree Audit) Carolina Core Specialty Team Chair –Carolina Core courses only Curricula and Courses Committee Faculty Senate
What is the process for program actions?,Internal Approvals: Academic Unit Head (Chair) Academic Unit Heads for departments affected by the action (only if needed) College/School Representative (usually the APL) Undergraduate Dean Registrar (Banner Validation and Degree Audit) Curricula and Courses Committee Faculty Senate External Approvals: 8. Board of Trustees (if needed) 9. CHE (if needed) 10. SACSCOC notification and/or substantive change (if needed) See the APPS Approval Flow Chart for program actions. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/docs/apps-approval-flowchart.pdf)
"When do cross-listed courses require additional proposals, and not just letters of concurrence?","Common Reasons Proposals are Returned from the Curricula and Courses Committee: Anytime a course is being deleted. If multiple cross-listed courses are being deleted, separate proposals are needed. Anytime a new course is being created. If a new course is to be cross listed with another new course, two proposals are needed (one for each course). If a new course is going to be cross listed with an existing course, only one proposal is needed. The proposal that creates the new course can also create the cross list, but does need a letter of concurrency. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/docs/f23232.pdf)"
When is a syllabus required for a proposal?,"Common Reasons Proposals are Returned from the Curricula and Courses Committee: A syllabus should only be included in a proposal when necessary. When a syllabus is included, it will be reviewed by the Committee on Curricula and Courses. Proposals that require a syllabus: New course Significant change in the course description, and/or title When required by other committees (i.e., Carolina Core and Instructional Development -INDEV) Proposals that do not require a syllabus: Minor revisions to the course description or course title (e.g., slight rephrasing to replace terms as dictated by professional organizations often related to accreditation) Change in co-requisites or pre-requisites Change in course level, as long as not changing to/from 500 or 600. Change in Catalog Restrictions Change in Carolina Core or GLD designations Change in Grade Mode (not needed for removing pass/fail; needed if adding pass/fail) Change in Schedule Type (e.g., adding/changing lecture/lab/practicum format] Deleting a course (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/docs/f23232.pdf)"
When is the content in my proposal effective?,"New courses, programs, and concentrations can be effective for the next term after all approvals and notifications. Course, program, and concentration changes or deletions will be effective for the next bulletin year if all approvals are received 10 days prior to the November Curricula and Courses Committee meeting and approved by Faculty Senate."
When is the new Bulletin published for the upcoming academic year?,A new Bulletin is published each February 15th for the coming academic year.
When should I submit my proposal in order to be effective for the next Bulletin year?,All proposals must reach the Committee on Curricula and Courses 10 days prior to the November meeting in order to make the December Faculty Senate cutoff for curriculum changes. It depends on the type of proposal submitted how long it will take to reach the Committee on Curricula and Courses and if there are any external approvals required. Program actions may take between 6 months and 2 years for full review (ACAF 2.00). Review the various levels of approval needed for various types of curricular actions. (/about/offices_and_divisions/advising/curriculum_services/approval_process/index.php)
Who can I contact in my college for assistance with curriculum actions?,"An Academic Program Liaison (APL) is designated for each college/school on the Columbia campus, for each comprehensive campus, and for the regional Palmetto College campuses. The APLs will serve as the main information resource on academic program actions and as the academic program liaison to the Provost’s Office for their respective units. The list of current Academic Program Liaisons can be found on the Planning and Assessment, Academic Program Liaison’s page of the Provost’s website. (/about/offices_and_divisions/provost/planning/academicprograms/academic-program-liasons.php)"
Who is the Academic Program Liaison (APL) for my college?,"Current APL’s are listed on the Planning and Assessment, Academic Program Liaison’s page of the Provost’s website. (/about/offices_and_divisions/provost/planning/academicprograms/academic-program-liasons.php)"
Who should I contact if I have a correction for DegreeWorks?,Please visit the DegreeWorks Edit Request website. (https://sc.edu/about/offices_and_divisions/registrar/toolbox/faculty_staff_forms/secure_form_access/degreeworks_edit_request.php)
Who should I contact if there is an issue in Banner?,Fill out the form on the Self Service Carolina Help website. (https://sc.edu/about/offices_and_divisions/registrar/forms/ssc-help.php)
Why do Faculty need to know about DegreeWorks?,"Every undergraduate student has access to his/her personal degree audit. This in important because students monitor their own progress. Degree audits are especially important for athletes, veterans, and OSP (Opportunity Scholars Program) students, who must have an accurate degree audit for compliance (NCAA, GI Bill, Federal Funding). Faculty need to be aware of this because curricular decisions must be accurately reflected in DegreeWorks."
Will my proposal require a letter of concurrence?,"Under ACAF 2.00: Interdisciplinary or Interprofessional Programs : Each instance in which an interdisciplinary or interprofessional program is created, revised, or terminated requires letters of concurrence from all related academic units. Dual, Joint and Other Collaborative Degree Programs: The proposal requires the approval of the faculty and leadership in both or all collaborating programs, and letters of concurrence from all university units in closely related disciplines. Under ACAF 2.03: Course Actions : If a course action has the potential to impact the curriculum offering of other units or campuses, then the proponent is responsible for procuring concurrence from such units or campuses. Cross-listed course: If one course is new, and the other already exists, the unit introducing the new course shall include a statement of concurrence from the unit with the existing course. If all courses in a cross-listing are existing courses, one of the units shall submit the course action, indicating all other courses with which the course is cross-listed. All other units shall provide to the initiating unit statements of concurrence, indicating all other courses with which the initiated course is cross-listed. Common Reasons Proposals are Returned from the Curricula and Courses Committee: Pre-/Co-Requisites : Changes to Pre-/Co-requisites (either their addition or removal) require a letter of concurrence for the department offering the pre-/co-requisite course unless the impacted courses are in the same department as the subject course. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/docs/f23232.pdf)"
Will my proposal require any external approvals?,"Only programs require external approvals (the President, Board of Trustees (BoT), SACS, and CHE notification or approval), as outline in ACAF 2.00: ""All new academic programs and program name changes across the entire USC system must be approved by the president. All new academic programs and program name changes across the entire USC system must be approved by the University Board of Trustees."" CHE approval is required in the following cases: New degree programs; New academic certificates of any length in a new CIP code; New academic certificates of more than 18 credit hours in a current CIP code; Program revisions of more than 18 credit hours including the addition of one or more program concentrations and CIP code changes; Program revisions of delivery location to off-campus (50% or more of credit hours); Extension of an approved health professions program to additional sites in-state, and Center and institute proposals requesting new or additional state funding. CHE notification is required in the following cases: Program revisions of 18 credit hours or less (undergraduate) or 12 credit hours or less (graduate), including the addition of a single program concentration; New academic certificates of 18 credit hours or less in a current CIP code; Consolidation of concentrations within an existing program; Program name changes; Program four-letter designator changes; Program terminations; Program revisions of delivery method to distance education delivery (50% or more of credit hours); and Center or institute proposals in which state funding is not required. SACSCOC approval is required six months before implementation in the following cases: New programs, including new dual or joint degree programs; Program revisions that increase program length by 10%; New academic certificates of any length in any CIP code; Program terminations; Program revisions of delivery location to off-campus (50% or more of credit hours); and Program revisions of delivery method to distance education delivery (50% or more of credit hours) SACSCOC notification is required six months before implementation in the following cases: Program revisions of delivery location to off-campus (25% to 49% of credit hours); Program name changes. The program percentages must be based on the total number of credits required to earn the degree, not on the number of required credits in the major, minor or course, or the number of contact hours. SACSCOC may also request more information or additional materials such as a prospectus for any action."
